insertion_fraction,insertion_pct,k_eff,k_eff_std,rho_total_pcm,rho_rod_worth_pcm
0.0000,0.0,1.00224587,0.00019290,224.084,0.000
0.0526,5.3,1.00172196,0.00017305,171.900,-52.185
0.1053,10.5,1.00145271,0.00017862,145.060,-79.024
0.1579,15.8,1.00117203,0.00022771,117.066,-107.018
0.2105,21.1,1.00063036,0.00021149,62.997,-161.087
0.2632,26.3,1.00003169,0.00020197,3.169,-220.916
0.3158,31.6,0.99924717,0.00020047,-75.340,-299.424
0.3684,36.8,0.99861916,0.00022281,-138.275,-362.359
0.4211,42.1,0.99769861,0.00023480,-230.670,-454.754
0.4737,47.4,0.99689732,0.00021360,-311.234,-535.318
0.5263,52.6,0.99563099,0.00020881,-438.819,-662.903
0.5789,57.9,0.99468904,0.00021304,-533.932,-758.016
0.6316,63.2,0.99404918,0.00020184,-598.644,-822.728
0.6842,68.4,0.99273742,0.00022774,-731.571,-955.655
0.7368,73.7,0.99157608,0.00019563,-849.548,-1073.632
0.7895,78.9,0.99059428,0.00018172,-949.503,-1173.587
0.8421,84.2,0.99045611,0.00018806,-963.585,-1187.669
0.8947,89.5,0.98942986,0.00020499,-1068.306,-1292.390
0.9474,94.7,0.98906026,0.00018893,-1106.074,-1330.158
1.0000,100.0,0.98885906,0.00018983,-1126.646,-1350.730
